ISO Code,Rate,Country,Currency,Reference date (CET)
MVR,15.39,MALDIVES,Rufiyaa,2022-11-24
XOF,629940,MALI,CFA Franc,2022-11-24
MRU,38025,MAURITANIA,Ouguiya,2022-11-24
MUR,44.0053,MAURITIUS,Mauritian Rupee,2022-11-24
MXN,19.3509,MEXICO,Mexican Peso,2022-11-24
MDL,19.2124,MOLDOVA,Moldovan Leu,2022-11-24
MNT,3416.14,MONGOLIA,Tugrik,2022-11-24
MAD,10678,MOROCCO,Moroccan Dirham,2022-11-24
MZN,63.97,MOZAMBIQUE,New Mozambique Metical,2022-11-24
MMK,2100.0,MYANMAR,Kyat,2022-11-24
NAD,17.0216,NAMIBIA,Namibian Dollar,2022-11-24
NPR,130.65,NEPAL,Nepalese Rupee,2022-11-24
ANG,1.79,NETHERLANDS ANTILLES,Netherlands Antillean Guilder,2022-11-24
NZD,0.6274,NEW ZEALAND,New Zealand Dollar,2022-11-24
NIO,35.9531,NICARAGUA,Cordoba,2022-11-24
XOF,629940,NIGER,CFA Franc,2022-11-24
NGN,443.26,NIGERIA,Naira,2022-11-24
NOK,9.9333,NORWAY,Norwegian Krone,2022-11-24
OMR,0.3845,OMAN,Rial Omani,2022-11-24
PKR,224.3828,PAKISTAN,Pakistan Rupee,2022-11-24
PAB,1,PANAMA,Balboa,2022-11-24
PGK,0.2844,PAPUA NEW GUINEA,Kina,2022-11-24
PYG,7209.57,PARAGUAY,Paraguayan Guarani,2022-11-24
PEN,3.8571,PERU,Nuevo Sol,2022-11-24
PHP,56.6523,PHILIPPINES,Philippine Peso,2022-11-24
PLN,4.5096,POLAND,Zloty,2022-11-24
QAR,3.64,QATAR,Qatar Riyal,2022-11-24
RON,4.7253,ROMANIA,New Romanian Leu,2022-11-24
RUB,N.A.,RUSSIAN FEDERATION,Russian Ruble,2022-11-24
RWF,1060.0022,RWANDA,Rwanda Franc,2022-11-24
STN,23.5283,SAO TOME and PRINCIPE,Dobra,2022-11-24
SAR,3.75,SAUDI ARABIA,Saudi Arabian Riyal,2022-11-24
XOF,629940,SENEGAL,CFA Franc,2022-11-24
RSD,112.7025,SERBIA,Serbian Dinar,2022-11-24
SCR,14.2571,SEYCHELLES,Seychelles Rupee,2022-11-24
SLE,18.4758,SIERRA LEONE,Leone,2022-11-24
SGD,1.3751,SINGAPORE,Singapore Dollar,2022-11-24
SBD,0.1215,SOLOMON (Islands),Solomon Islands Dollar,2022-11-24
SOS,569.27,SOMALIA,Somali Shilling,2022-11-24
ZAR,17.0216,SOUTH AFRICA,South African Rand,2022-11-24
SSP,637.3833,SOUTH SUDAN,South Sudanese Pound,2022-11-24
LKR,366.4122,SRI LANKA,Sri Lanka Rupee,2022-11-24
SHP,1.2118,ST. HELENA,St. Helena Pound,2022-11-24
XCD,2.70,ST. KITTS AND NEVIS,East Caribbean Dollar,2022-11-24
XCD,2.70,ST. LUCIA,East Caribbean Dollar,2022-11-24
XCD,2.70,ST. VINCENT and the GRENADINES,East Caribbean Dollar,2022-11-24
SDG,566.8207,SUDAN,Sudanese Pound,2022-11-24
SRD,30627,SURINAME,Suriname Dollar,2022-11-24
SEK,10.4267,SWEDEN,Swedish Krona,2022-11-24
CHF,0.9429,SWITZERLAND,Swiss Franc,2022-11-24
SYP,2512.00,SYRIAN ARAB REPUBLIC,Syrian Pound,2022-11-24
TWD,31.0414,TAIWAN,New Taiwan Dollar,2022-11-24
TJS,10.2100,TAJIKISTAN,Somoni,2022-11-24
TZS,2331.1950,TANZANIA,Tanzania Shilling,2022-11-24
THB,35780,THAILAND,Baht,2022-11-24
XOF,629940,TOGO,CFA Franc,2022-11-24
TOP,0.4224,TONGA,Pa anga,2022-11-24
TTD,6.7847,TRINIDAD and TOBAGO,Trinidad and Tobago Dollar,2022-11-24
TND,3.2263,TUNISIA,Tunisian Dinar,2022-11-24
TRY,18.6276,TURKEY,Turkey Lira (new),2022-11-24
TMT,3.50,TURKMENISTAN,Turkmen Manat (new),2022-11-24
UGX,3739.80,UGANDA,Uganda Shilling,2022-11-24
UAH,36.5686,UKRAINE,Hryvnia,2022-11-24
AED,3.6725,UNITED ARAB EMIRATES,U.A.E. Dirham,2022-11-24
GBP,1.2118,UNITED KINGDOM,Pound Sterling,2022-11-24
UYU,39.2833,URUGUAY,Uruguayan Peso,2022-11-24
UZS,11213.79,UZBEKISTAN,Uzbek Sum,2022-11-24
VUV,119.56,VANUATU,Vatu,2022-11-24
VES,10.2218,VENEZUELA,Bolivar Soberano,2022-11-24
VND,24842,VIETNAM,Dong,2022-11-24
WST,2.7394,WESTERN SAMOA,Tala,2022-11-24
YER,250.22,YEMEN,Yemeni Rial,2022-11-24
ZMW,16.7902,ZAMBIA,Zambian Kwacha,2022-11-24
ZWL,646.2415,ZIMBABWE,Zimbabwe Dollar,2022-11-24
